,Annee,Closing value,Change in points,Change in percent
0,1885,39.29,10.83,38.05
1,1886,41.03,1.74,4.43
2,1887,37.58,3.45,8.41
3,1888,39.39,1.81,4.82
4,1889,41.56,2.17,5.51
5,1890,35.68,5.88,14.15
6,1891,41.97,6.29,17.63
7,1892,39.21,2.76,6.58
8,1893,29.57,9.64,24.59
9,1894,29.4,0.17,0.57
10,1895,30.07,0.67,2.28
11,1896,29.56,0.51,1.7
12,1897,36.07,6.51,22.02
13,1898,44.18,8.11,22.48
14,1899,48.24,4.06,9.19
15,1900,51.62,3.38,7.01
16,1901,47.13,4.49,8.7
17,1902,46.93,0.2,0.42
18,1903,35.85,11.08,23.61
19,1904,50.82,14.97,41.76
20,1905,70.23,19.41,38.19
21,1906,68.88,1.35,1.92
22,1907,42.89,25.99,37.73
23,1908,62.89,20.0,46.63
24,1909,72.31,9.42,14.98
25,1910,59.4,12.91,17.85
26,1911,59.63,0.23,0.39
27,1912,64.15,4.52,7.58
28,1913,57.51,6.64,10.35
29,1914,54.58,2.93,5.09
30,1915,99.15,44.57,81.66
31,1916,95.0,4.15,4.19
32,1917,74.38,20.62,21.71
33,1918,82.2,7.82,10.51
34,1919,107.23,25.03,30.45
35,1920,71.95,35.28,32.9
36,1921,81.1,9.15,12.72
37,1922,98.73,17.63,21.74
38,1923,95.52,3.21,3.25
39,1924,120.51,24.99,26.16
40,1925,156.66,36.15,30.0
41,1926,157.2,0.54,0.34
42,1927,202.4,45.2,28.75
43,1928,300.0,97.6,48.22
44,1929,248.48,51.52,17.17
45,1930,164.58,83.9,33.77
46,1931,77.9,86.68,52.67
47,1932,59.93,17.97,23.07
48,1933,99.9,39.97,66.69
49,1934,104.04,4.14,4.14
50,1935,144.13,40.09,38.53
51,1936,179.9,35.77,24.82
52,1937,120.85,59.05,32.82
53,1938,154.76,33.91,28.06
54,1939,150.24,4.52,2.92
55,1940,131.13,19.11,12.72
56,1941,110.96,20.17,15.38
57,1942,119.4,8.44,7.61
58,1943,135.89,16.49,13.81
59,1944,152.32,16.43,12.09
60,1945,192.91,40.59,26.65
61,1946,177.2,15.71,8.14
62,1947,181.16,3.96,2.23
63,1948,177.3,3.86,2.13
64,1949,200.13,22.83,12.88
65,1950,235.41,35.28,17.63
66,1951,269.23,33.82,14.37
67,1952,291.9,22.67,8.42
68,1953,280.9,11.0,3.77
69,1954,404.39,123.49,43.96
70,1955,488.4,84.01,20.77
71,1956,499.47,11.07,2.27
72,1957,435.69,63.78,12.77
73,1958,583.65,147.96,33.96
74,1959,679.36,95.71,16.4
75,1960,615.89,63.47,9.34
76,1961,731.14,115.25,18.71
77,1962,652.1,79.04,10.81
78,1963,762.95,110.85,17.0
79,1964,874.13,111.18,14.57
80,1965,969.26,95.13,10.88
81,1966,785.69,183.57,18.94
82,1967,905.11,119.42,15.2
83,1968,943.75,38.64,4.27
84,1969,800.36,143.39,15.19
85,1970,838.92,38.56,4.82
86,1971,890.2,51.28,6.11
87,1972,1020.02,129.82,14.58
88,1973,850.86,169.16,16.58
89,1974,616.24,234.62,27.57
90,1975,852.41,236.17,38.32
91,1976,1004.65,152.24,17.86
92,1977,831.17,173.48,17.27
93,1978,805.01,26.16,3.15
94,1979,838.74,33.73,4.19
95,1980,963.99,125.25,14.93
96,1981,875.0,88.99,9.23
97,1982,1046.54,171.54,19.6
98,1983,1258.64,212.1,20.27
99,1984,1211.57,47.07,3.74
100,1985,1546.67,335.1,27.66
101,1986,1895.95,349.28,22.58
102,1987,1938.83,42.88,2.26
103,1988,2168.57,229.74,11.85
104,1989,2753.2,584.63,26.96
105,1990,2633.66,119.54,4.34
106,1991,3168.83,535.17,20.32
107,1992,3301.11,132.28,4.17
108,1993,3754.09,452.98,13.72
109,1994,3834.44,80.35,2.14
110,1995,5117.12,1282.68,33.45
111,1996,6448.27,1331.15,26.01
112,1997,7908.25,1459.98,22.64
113,1998,9181.43,1273.18,16.1
114,1999,11497.12,2315.69,25.22
115,2000,10786.85,710.27,6.18
116,2001,10021.5,765.35,7.1
117,2002,8341.63,1679.87,16.76
118,2003,10453.92,2112.29,25.32
119,2004,10783.01,329.09,3.15
120,2005,10717.5,65.51,0.61
121,2006,12463.15,1745.65,16.29
122,2007,13264.82,801.67,6.43
123,2008,8776.39,4488.43,33.84
124,2009,10428.05,1651.66,18.82
125,2010,11577.51,1149.46,11.02
126,2011,12217.56,640.05,5.53
127,2012,13104.14,886.58,7.26
128,2013,16576.66,3472.52,26.5
129,2014,17823.07,1246.41,7.52
130,2015,17425.03,398.04,2.23
131,2016,19762.6,2337.57,13.42
132,2017,24719.22,4956.62,25.08
133,2018,23327.46,1391.76,5.63
134,2019,28538.44,5210.98,22.34
135,2020,30606.48,2068.04,7.25
